step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm,v_pred_absmax,target_v_absmax,lora_diff_mean,lora_grad_mean
125,2,0.705679,0.0,0.705679,0.0,0.0,1e-05,0.227036,5.0,5.6875,0.00011113,4e-08
126,2,0.587646,0.0,0.587646,0.0,0.0,1e-05,0.472127,4.96875,5.3125,0.00011202,2.7e-07
127,2,0.609733,0.0,0.609733,0.0,0.0,1e-05,0.169717,4.28125,5.5625,0.00011329,4e-08
128,2,0.590338,0.0,0.590338,0.0,0.0,1e-05,0.208569,5.125,5.4375,0.00011453,1.3e-07
129,2,0.631687,0.0,0.631687,0.0,0.0,1e-05,0.191293,5.6875,5.1875,0.0001158,7e-08
130,2,0.759494,0.0,0.759494,0.0,0.0,1e-05,0.226308,5.0,5.5,0.00011691,3e-08
131,2,0.733914,0.0,0.733914,0.0,0.0,1e-05,0.201379,5.34375,6.0625,0.00011794,1.1e-07
132,2,0.524235,0.0,0.524235,0.0,0.0,1e-05,0.206549,5.71875,5.5625,0.00011928,9e-08
133,2,0.66319,0.0,0.66319,0.0,0.0,1e-05,0.228772,4.5625,5.875,0.00012041,1.9e-07
134,2,0.633534,0.0,0.633534,0.0,0.0,1e-05,0.172487,4.78125,5.0,0.00012216,7e-08
135,2,0.671121,0.0,0.671121,0.0,0.0,1e-05,0.201723,5.375,5.25,0.00012371,5e-08
136,2,0.607997,0.0,0.607997,0.0,0.0,1e-05,0.336933,4.90625,5.15625,0.0001251,3.2e-07
137,2,0.736714,0.0,0.736714,0.0,0.0,1e-05,0.181821,5.34375,5.25,0.00012763,8e-08
138,2,0.591756,0.0,0.591756,0.0,0.0,1e-05,0.222667,4.53125,5.65625,0.00013022,1.7e-07
139,2,0.657692,0.0,0.657692,0.0,0.0,1e-05,0.184477,5.71875,5.90625,0.00013224,2e-08
140,2,0.637101,0.0,0.637101,0.0,0.0,1e-05,0.19986,4.40625,5.8125,0.00013407,1.8e-07
141,2,0.574144,0.0,0.574144,0.0,0.0,1e-05,0.225891,5.5,6.125,0.00013521,1.8e-07
142,2,0.69083,0.0,0.69083,0.0,0.0,1e-05,0.189067,6.4375,6.625,0.00013675,6e-08
143,2,0.694006,0.0,0.694006,0.0,0.0,1e-05,0.171792,4.125,4.96875,0.00013831,7e-08
144,2,0.628206,0.0,0.628206,0.0,0.0,1e-05,0.285712,4.65625,5.4375,0.00013971,3.6e-07
145,2,0.663707,0.0,0.663707,0.0,0.0,1e-05,0.203745,4.59375,5.65625,0.00013971,1.3e-07
146,2,0.645306,0.0,0.645306,0.0,0.0,1e-05,0.208229,5.3125,5.5,0.00014007,6e-08
147,2,0.752163,0.0,0.752163,0.0,0.0,1e-05,0.25887,5.09375,5.375,0.00014048,1.8e-07
148,2,0.498372,0.0,0.498372,0.0,0.0,1e-05,0.178984,5.125,6.5625,0.00014052,4e-08
149,2,0.680961,0.0,0.680961,0.0,0.0,1e-05,0.174604,5.15625,6.0,0.00014062,6e-08
150,2,0.63276,0.0,0.63276,0.0,0.0,1e-05,0.186485,4.25,4.9375,0.00014093,6e-08
151,2,0.538175,0.0,0.538175,0.0,0.0,1e-05,0.169226,4.6875,5.4375,0.00014138,4e-08
152,2,0.722143,0.0,0.722143,0.0,0.0,1e-05,0.185972,5.21875,6.375,0.00014181,2e-08
153,2,0.919723,0.0,0.919723,0.0,0.0,1e-05,0.299513,4.4375,6.03125,0.00014221,1.6e-07
154,2,0.597547,0.0,0.597547,0.0,0.0,1e-05,0.18558,5.75,5.9375,0.00014303,6e-08
