step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm,v_pred_absmax,target_v_absmax,lora_diff_mean,lora_grad_mean
124,2,0.48197,0.0,0.48197,0.0,0.123,3e-05,0.171933,3.8125,5.25,0.00031577,1e-08
125,2,0.312731,0.0,0.312731,0.0,0.124,3e-05,0.418919,5.3125,6.21875,0.0003171,3e-08
126,2,0.385644,0.0,0.385644,0.0,0.125,3e-05,0.138801,5.0,5.5,0.00031852,1e-08
127,2,0.395074,0.0,0.395074,0.0,0.126,3e-05,0.391688,3.546875,5.3125,0.00031995,2e-08
128,2,0.430531,0.0,0.430531,0.0,0.127,3e-05,0.287482,5.0625,5.9375,0.00032134,4e-08
129,2,0.524122,0.0,0.524122,0.0,0.128,3e-05,0.329991,4.84375,5.53125,0.00032268,3e-08
130,2,0.352033,0.0,0.352033,0.0,0.129,3e-05,0.10977,5.9375,6.0625,0.00032378,1e-08
131,2,0.414192,0.0,0.414192,0.0,0.13,3e-05,0.311919,4.84375,5.09375,0.00032481,4e-08
132,2,0.332492,0.0,0.332492,0.0,0.131,3e-05,0.144804,5.40625,6.125,0.00032598,2e-08
133,2,0.376606,0.0,0.376606,0.0,0.132,3e-05,0.356814,5.1875,5.59375,0.00032708,3e-08
134,2,0.435902,0.0,0.435902,0.0,0.133,3e-05,0.316156,5.0625,5.96875,0.00032791,3e-08
135,2,0.37426,0.0,0.37426,0.0,0.134,3e-05,0.169694,4.71875,4.9375,0.00032867,2e-08
136,2,0.372203,0.0,0.372203,0.0,0.135,3e-05,0.168935,4.9375,6.1875,0.0003293,2e-08
137,2,0.573583,0.0,0.573583,0.0,0.136,3e-05,0.31694,5.84375,6.5625,0.00032998,2e-08
138,2,0.314308,0.0,0.314308,0.0,0.137,3e-05,0.133088,5.125,5.5625,0.00033059,2e-08
139,2,0.45939,0.0,0.45939,0.0,0.138,3e-05,0.298158,5.21875,5.4375,0.00033116,2e-08
140,2,0.351473,0.0,0.351473,0.0,0.139,3e-05,0.122768,4.96875,5.09375,0.00033179,1e-08
141,2,0.447196,0.0,0.447196,0.0,0.14,3e-05,0.169393,5.34375,5.5,0.00033239,2e-08
142,2,0.454927,0.0,0.454927,0.0,0.141,3e-05,0.543382,6.15625,6.46875,0.00033309,7e-08
143,2,0.383065,0.0,0.383065,0.0,0.142,3e-05,0.205825,5.625,7.0625,0.00033396,1e-08
144,2,0.393298,0.0,0.393298,0.0,0.143,3e-05,0.363349,4.59375,5.53125,0.00033482,5e-08
145,2,0.409595,0.0,0.409595,0.0,0.144,3e-05,0.190803,5.59375,5.78125,0.00033589,3e-08
146,2,0.33765,0.0,0.33765,0.0,0.145,3e-05,0.490495,5.15625,5.4375,0.00033677,6e-08
147,2,0.339465,0.0,0.339465,0.0,0.146,3e-05,0.123047,4.65625,5.21875,0.00033769,1e-08
148,2,0.333066,0.0,0.333066,0.0,0.147,3e-05,0.630012,5.53125,5.9375,0.00033857,7e-08
149,2,0.300835,0.0,0.300835,0.0,0.148,3e-05,0.29516,5.0625,5.40625,0.00033942,3e-08
150,2,0.397315,0.0,0.397315,0.0,0.149,3e-05,0.334539,5.1875,5.4375,0.00034018,2e-08
151,2,0.366275,0.0,0.366275,0.0,0.15,3e-05,0.843418,5.46875,5.6875,0.0003409,1e-08
